text,char,word,index,index_num,line
I,1,1,I,1,0
"From fairest creatures we desire increase,",42,6,I,1,1
"That thereby beauty's rose might never die,",43,7,I,1,2
"But as the riper should by time decease,",40,8,I,1,3
His tender heir might bear his memory:,38,7,I,1,4
"But thou, contracted to thine own bright eyes,",46,8,I,1,5
"Feed'st thy light's flame with self-substantial fuel,",53,7,I,1,6
"Making a famine where abundance lies,",37,6,I,1,7
"Thy self thy foe, to thy sweet self too cruel:",46,10,I,1,8
"Thou that art now the world's fresh ornament,",45,8,I,1,9
"And only herald to the gaudy spring,",36,7,I,1,10
"Within thine own bud buriest thy content,",41,7,I,1,11
And tender churl mak'st waste in niggarding:,44,7,I,1,12
"Pity the world, or else this glutton be,",40,8,I,1,13
"To eat the world's due, by the grave and thee.",46,10,I,1,14
II,2,1,II,2,0
"When forty winters shall besiege thy brow,",42,7,II,2,1
"And dig deep trenches in thy beauty's field,",44,8,II,2,2
"Thy youth's proud livery so gazed on now,",41,8,II,2,3
Will be a tatter'd weed of small worth held:,44,9,II,2,4
"Then being asked, where all thy beauty lies,",44,8,II,2,5
Where all the treasure of thy lusty days;,41,8,II,2,6
"To say, within thine own deep sunken eyes,",42,8,II,2,7
"Were an all-eating shame, and thriftless praise.",48,7,II,2,8
"How much more praise deserv'd thy beauty's use,",47,8,II,2,9
If thou couldst answer 'This fair child of mine,47,9,II,2,10
"Shall sum my count, and make my old excuse,'",44,9,II,2,11
Proving his beauty by succession thine!,39,6,II,2,12
"This were to be new made when thou art old,",43,10,II,2,13
And see thy blood warm when thou feel'st it cold.,49,10,II,2,14
III,3,1,III,3,0
Look in thy glass and tell the face thou viewest,48,10,III,3,1
Now is the time that face should form another;,46,9,III,3,2
"Whose fresh repair if now thou not renewest,",44,8,III,3,3
"Thou dost beguile the world, unbless some mother.",49,8,III,3,4
For where is she so fair whose unear'd womb,43,9,III,3,5
Disdains the tillage of thy husbandry?,38,6,III,3,6
"Or who is he so fond will be the tomb,",38,10,III,3,7
Of his self-love to stop posterity?,35,6,III,3,8
Thou art thy mother's glass and she in thee,43,9,III,3,9
Calls back the lovely April of her prime;,41,8,III,3,10
"So thou through windows of thine age shalt see,",47,9,III,3,11
Despite of wrinkles this thy golden time.,41,7,III,3,12
"But if thou live, remember'd not to be,",39,8,III,3,13
Die single and thine image dies with thee.,42,8,III,3,14
IV,2,1,IV,4,0
"Unthrifty loveliness, why dost thou spend",41,6,IV,4,1
Upon thy self thy beauty's legacy?,34,6,IV,4,2
"Nature's bequest gives nothing, but doth lend,",46,7,IV,4,3
And being frank she lends to those are free:,44,9,IV,4,4
"Then, beauteous niggard, why dost thou abuse",44,7,IV,4,5
The bounteous largess given thee to give?,41,7,IV,4,6
"Profitless usurer, why dost thou use",36,6,IV,4,7
"So great a sum of sums, yet canst not live?",43,10,IV,4,8
"For having traffic with thy self alone,",39,7,IV,4,9
Thou of thy self thy sweet self dost deceive:,45,9,IV,4,10
"Then how when nature calls thee to be gone,",43,9,IV,4,11
What acceptable audit canst thou leave?,39,6,IV,4,12
"Thy unused beauty must be tombed with thee,",43,8,IV,4,13
"Which, used, lives th' executor to be.",38,7,IV,4,14
V,1,1,V,5,0
"Those hours, that with gentle work did frame",44,8,V,5,1
"The lovely gaze where every eye doth dwell,",43,8,V,5,2
Will play the tyrants to the very same,38,8,V,5,3
And that unfair which fairly doth excel;,40,7,V,5,4
For never-resting time leads summer on,38,6,V,5,5
"To hideous winter, and confounds him there;",43,7,V,5,6
"Sap checked with frost, and lusty leaves quite gone,",52,9,V,5,7
Beauty o'er-snowed and bareness every where:,44,6,V,5,8
"Then were not summer's distillation left,",41,6,V,5,9
"A liquid prisoner pent in walls of glass,",41,8,V,5,10
"Beauty's effect with beauty were bereft,",40,6,V,5,11
"Nor it, nor no remembrance what it was:",39,8,V,5,12
"But flowers distill'd, though they with winter meet,",52,8,V,5,13
Leese but their show; their substance still lives sweet.,56,9,V,5,14
VI,2,1,VI,6,0
"Then let not winter's ragged hand deface,",41,7,VI,6,1
"In thee thy summer, ere thou be distill'd:",42,8,VI,6,2
Make sweet some vial; treasure thou some place,46,8,VI,6,3
With beauty's treasure ere it be self-kill'd.,45,7,VI,6,4
"That use is not forbidden usury,",32,6,VI,6,5
Which happies those that pay the willing loan;,46,8,VI,6,6
"That's for thy self to breed another thee,",42,8,VI,6,7
"Or ten times happier, be it ten for one;",40,9,VI,6,8
"Ten times thy self were happier than thou art,",46,9,VI,6,9
If ten of thine ten times refigur'd thee:,41,8,VI,6,10
"Then what could death do if thou shouldst depart,",49,9,VI,6,11
Leaving thee living in posterity?,33,5,VI,6,12
"Be not self-will'd, for thou art much too fair",46,9,VI,6,13
To be death's conquest and make worms thine heir.,49,9,VI,6,14
VII,3,1,VII,7,0
Lo! in the orient when the gracious light,41,8,VII,7,1
"Lifts up his burning head, each under eye",41,8,VII,7,2
"Doth homage to his new-appearing sight,",39,6,VII,7,3
Serving with looks his sacred majesty;,38,6,VII,7,4
"And having climb'd the steep-up heavenly hill,",46,7,VII,7,5
"Resembling strong youth in his middle age,",42,7,VII,7,6
"Yet mortal looks adore his beauty still,",40,7,VII,7,7
Attending on his golden pilgrimage:,35,5,VII,7,8
"But when from highmost pitch, with weary car,",45,8,VII,7,9
"Like feeble age, he reeleth from the day,",41,8,VII,7,10
"The eyes, 'fore duteous, now converted are",42,7,VII,7,11
"From his low tract, and look another way:",41,8,VII,7,12
"So thou, thyself outgoing in thy noon:",38,7,VII,7,13
"Unlook'd, on diest unless thou get a son.",41,8,VII,7,14
VIII,4,1,VIII,8,0
"Music to hear, why hear'st thou music sadly?",44,8,VIII,8,1
"Sweets with sweets war not, joy delights in joy:",48,9,VIII,8,2
"Why lov'st thou that which thou receiv'st not gladly,",53,9,VIII,8,3
Or else receiv'st with pleasure thine annoy?,44,7,VIII,8,4
"If the true concord of well-tuned sounds,",41,7,VIII,8,5
"By unions married, do offend thine ear,",39,7,VIII,8,6
"They do but sweetly chide thee, who confounds",45,8,VIII,8,7
In singleness the parts that thou shouldst bear.,48,8,VIII,8,8
"Mark how one string, sweet husband to another,",46,8,VIII,8,9
Strikes each in each by mutual ordering;,40,7,VIII,8,10
"Resembling sire and child and happy mother,",43,7,VIII,8,11
"Who, all in one, one pleasing note do sing:",43,9,VIII,8,12
"Whose speechless song being many, seeming one,",46,7,VIII,8,13
Sings this to thee: 'Thou single wilt prove none.',50,9,VIII,8,14
IX,2,1,IX,9,0
"Is it for fear to wet a widow's eye,",36,9,IX,9,1
That thou consum'st thy self in single life?,44,8,IX,9,2
"Ah! if thou issueless shalt hap to die,",39,8,IX,9,3
The world will wail thee like a makeless wife;,46,9,IX,9,4
The world will be thy widow and still weep,42,9,IX,9,5
"That thou no form of thee hast left behind,",43,9,IX,9,6
When every private widow well may keep,38,7,IX,9,7
"By children's eyes, her husband's shape in mind:",48,8,IX,9,8
Look! what an unthrift in the world doth spend,46,9,IX,9,9
"Shifts but his place, for still the world enjoys it;",52,10,IX,9,10
"But beauty's waste hath in the world an end,",44,9,IX,9,11
And kept unused the user so destroys it.,40,8,IX,9,12
No love toward others in that bosom sits,40,8,IX,9,13
That on himself such murd'rous shame commits.,45,7,IX,9,14
X,1,1,X,10,0
"For shame! deny that thou bear'st love to any,",46,9,X,10,1
Who for thy self art so unprovident.,36,7,X,10,2
"Grant, if thou wilt, thou art belov'd of many,",46,9,X,10,3
But that thou none lov'st is most evident:,42,8,X,10,4
"For thou art so possess'd with murderous hate,",46,8,X,10,5
"That 'gainst thy self thou stick'st not to conspire,",52,9,X,10,6
Seeking that beauteous roof to ruinate,38,6,X,10,7
Which to repair should be thy chief desire.,43,8,X,10,8
"O! change thy thought, that I may change my mind:",49,10,X,10,9
Shall hate be fairer lodg'd than gentle love?,45,8,X,10,10
"Be, as thy presence is, gracious and kind,",42,8,X,10,11
Or to thyself at least kind-hearted prove:,42,7,X,10,12
"Make thee another self for love of me,",38,8,X,10,13
That beauty still may live in thine or thee.,44,9,X,10,14
XI,2,1,XI,11,0
"As fast as thou shalt wane, so fast thou grow'st,",49,10,XI,11,1
"In one of thine, from that which thou departest;",48,9,XI,11,2
"And that fresh blood which youngly thou bestow'st,",50,8,XI,11,3
"Thou mayst call thine when thou from youth convertest,",54,9,XI,11,4
"Herein lives wisdom, beauty, and increase;",42,6,XI,11,5
"Without this folly, age, and cold decay:",40,7,XI,11,6
"If all were minded so, the times should cease",45,9,XI,11,7
And threescore year would make the world away.,46,8,XI,11,8
"Let those whom nature hath not made for store,",46,9,XI,11,9
"Harsh, featureless, and rude, barrenly perish:",46,6,XI,11,10
"Look, whom she best endow'd, she gave thee more;",48,9,XI,11,11
Which bounteous gift thou shouldst in bounty cherish:,53,8,XI,11,12
"She carv'd thee for her seal, and meant thereby,",48,9,XI,11,13
"Thou shouldst print more, not let that copy die.",48,9,XI,11,14
XII,3,1,XII,12,0
"When I do count the clock that tells the time,",46,10,XII,12,1
And see the brave day sunk in hideous night;,44,9,XII,12,2
"When I behold the violet past prime,",36,7,XII,12,3
"And sable curls, all silvered o'er with white;",46,8,XII,12,4
"When lofty trees I see barren of leaves,",40,8,XII,12,5
"Which erst from heat did canopy the herd,",41,8,XII,12,6
"And summer's green all girded up in sheaves,",44,8,XII,12,7
"Borne on the bier with white and bristly beard,",47,9,XII,12,8
"Then of thy beauty do I question make,",38,8,XII,12,9
"That thou among the wastes of time must go,",43,9,XII,12,10
Since sweets and beauties do themselves forsake,47,7,XII,12,11
And die as fast as they see others grow;,40,9,XII,12,12
And nothing 'gainst Time's scythe can make defence,50,8,XII,12,13
"Save breed, to brave him when he takes thee hence.",50,10,XII,12,14
XIII,4,1,XIII,13,0
"O! that you were your self; but, love you are",45,10,XIII,13,1
"No longer yours, than you your self here live:",46,9,XIII,13,2
"Against this coming end you should prepare,",43,7,XIII,13,3
And your sweet semblance to some other give:,44,8,XIII,13,4
So should that beauty which you hold in lease,45,9,XIII,13,5
Find no determination; then you were,36,6,XIII,13,6
"Yourself again, after yourself's decease,",41,5,XIII,13,7
When your sweet issue your sweet form should bear.,50,9,XIII,13,8
"Who lets so fair a house fall to decay,",39,9,XIII,13,9
"Which husbandry in honour might uphold,",39,6,XIII,13,10
Against the stormy gusts of winter's day,40,7,XIII,13,11
And barren rage of death's eternal cold?,40,7,XIII,13,12
"O! none but unthrifts. Dear my love, you know,",46,9,XIII,13,13
You had a father: let your son say so.,38,9,XIII,13,14
XIV,3,1,XIV,14,0
Not from the stars do I my judgement pluck;,43,9,XIV,14,1
"And yet methinks I have astronomy,",34,6,XIV,14,2
"But not to tell of good or evil luck,",37,9,XIV,14,3
"Of plagues, of dearths, or seasons' quality;",44,7,XIV,14,4
"Nor can I fortune to brief minutes tell,",40,8,XIV,14,5
"Pointing to each his thunder, rain and wind,",44,8,XIV,14,6
Or say with princes if it shall go well,39,9,XIV,14,7
By oft predict that I in heaven find:,37,8,XIV,14,8
"But from thine eyes my knowledge I derive,",42,8,XIV,14,9
And constant stars in them I read such art,42,9,XIV,14,10
"As 'Truth and beauty shall together thrive,",43,7,XIV,14,11
"If from thyself, to store thou wouldst convert';",48,8,XIV,14,12
Or else of thee this I prognosticate:,37,7,XIV,14,13
'Thy end is truth's and beauty's doom and date.',48,9,XIV,14,14
XV,2,1,XV,15,0
When I consider every thing that grows,38,7,XV,15,1
"Holds in perfection but a little moment,",40,7,XV,15,2
That this huge stage presenteth nought but shows,48,8,XV,15,3
Whereon the stars in secret influence comment;,46,7,XV,15,4
"When I perceive that men as plants increase,",44,8,XV,15,5
"Cheered and checked even by the self-same sky,",46,8,XV,15,6
"Vaunt in their youthful sap, at height decrease,",48,8,XV,15,7
And wear their brave state out of memory;,41,8,XV,15,8
Then the conceit of this inconstant stay,40,7,XV,15,9
"Sets you most rich in youth before my sight,",44,9,XV,15,10
Where wasteful Time debateth with decay,39,6,XV,15,11
"To change your day of youth to sullied night,",45,9,XV,15,12
"And all in war with Time for love of you,",41,10,XV,15,13
"As he takes from you, I engraft you new.",40,9,XV,15,14
XVI,3,1,XVI,16,0
But wherefore do not you a mightier way,39,8,XVI,16,1
"Make war upon this bloody tyrant, Time?",39,7,XVI,16,2
And fortify your self in your decay,35,7,XVI,16,3
With means more blessed than my barren rhyme?,45,8,XVI,16,4
"Now stand you on the top of happy hours,",40,9,XVI,16,5
"And many maiden gardens, yet unset,",35,6,XVI,16,6
"With virtuous wish would bear you living flowers,",49,8,XVI,16,7
Much liker than your painted counterfeit:,41,6,XVI,16,8
"So should the lines of life that life repair,",45,9,XVI,16,9
"Which this, Time's pencil, or my pupil pen,",43,8,XVI,16,10
"Neither in inward worth nor outward fair,",41,7,XVI,16,11
Can make you live your self in eyes of men.,43,10,XVI,16,12
"To give away yourself, keeps yourself still,",44,7,XVI,16,13
"And you must live, drawn by your own sweet skill.",49,10,XVI,16,14
XVII,4,1,XVII,17,0
"Who will believe my verse in time to come,",42,9,XVII,17,1
If it were fill'd with your most high deserts?,46,9,XVII,17,2
Though yet heaven knows it is but as a tomb,43,10,XVII,17,3
"Which hides your life, and shows not half your parts.",53,10,XVII,17,4
"If I could write the beauty of your eyes,",41,9,XVII,17,5
"And in fresh numbers number all your graces,",44,8,XVII,17,6
The age to come would say 'This poet lies;,42,9,XVII,17,7
Such heavenly touches ne'er touch'd earthly faces.',51,7,XVII,17,8
"So should my papers, yellow'd with their age,",45,8,XVII,17,9
"Be scorn'd, like old men of less truth than tongue,",51,10,XVII,17,10
And your true rights be term'd a poet's rage,44,9,XVII,17,11
And stretched metre of an antique song:,39,7,XVII,17,12
"But were some child of yours alive that time,",45,9,XVII,17,13
"You should live twice,--in it, and in my rhyme.",47,9,XVII,17,14
XVIII,5,1,XVIII,18,0
Shall I compare thee to a summer's day?,39,8,XVIII,18,1
Thou art more lovely and more temperate:,40,7,XVIII,18,2
"Rough winds do shake the darling buds of May,",45,9,XVIII,18,3
And summer's lease hath all too short a date:,45,9,XVIII,18,4
"Sometime too hot the eye of heaven shines,",42,8,XVIII,18,5
"And often is his gold complexion dimm'd,",40,7,XVIII,18,6
"And every fair from fair sometime declines,",43,7,XVIII,18,7
"By chance, or nature's changing course untrimm'd:",49,7,XVIII,18,8
"But thy eternal summer shall not fade,",38,7,XVIII,18,9
"Nor lose possession of that fair thou ow'st,",44,8,XVIII,18,10
"Nor shall death brag thou wander'st in his shade,",49,9,XVIII,18,11
"When in eternal lines to time thou grow'st,",43,8,XVIII,18,12
"So long as men can breathe, or eyes can see,",44,10,XVIII,18,13
"So long lives this, and this gives life to thee.",48,10,XVIII,18,14
XIX,3,1,XIX,19,0
"Devouring Time, blunt thou the lion's paws,",43,7,XIX,19,1
And make the earth devour her own sweet brood;,46,9,XIX,19,2
"Pluck the keen teeth from the fierce tiger's jaws,",50,9,XIX,19,3
"And burn the long-liv'd phoenix, in her blood;",46,8,XIX,19,4
"Make glad and sorry seasons as thou fleets,",43,8,XIX,19,5
"And do whate'er thou wilt, swift-footed Time,",45,7,XIX,19,6
To the wide world and all her fading sweets;,44,9,XIX,19,7
But I forbid thee one most heinous crime:,41,8,XIX,19,8
"O! carve not with thy hours my love's fair brow,",48,10,XIX,19,9
Nor draw no lines there with thine antique pen;,47,9,XIX,19,10
Him in thy course untainted do allow,36,7,XIX,19,11
For beauty's pattern to succeeding men.,39,6,XIX,19,12
"Yet, do thy worst old Time: despite thy wrong,",46,9,XIX,19,13
My love shall in my verse ever live young.,42,9,XIX,19,14
XX,2,1,XX,20,0
"A woman's face with nature's own hand painted,",46,8,XX,20,1
"Hast thou, the master mistress of my passion;",45,8,XX,20,2
"A woman's gentle heart, but not acquainted",42,7,XX,20,3
"With shifting change, as is false women's fashion:",50,8,XX,20,4
"An eye more bright than theirs, less false in rolling,",54,10,XX,20,5
Gilding the object whereupon it gazeth;,39,6,XX,20,6
"A man in hue all 'hues' in his controlling,",43,9,XX,20,7
Which steals men's eyes and women's souls amazeth.,50,8,XX,20,8
And for a woman wert thou first created;,40,8,XX,20,9
"Till Nature, as she wrought thee, fell a-doting,",48,8,XX,20,10
"And by addition me of thee defeated,",36,7,XX,20,11
By adding one thing to my purpose nothing.,42,8,XX,20,12
"But since she prick'd thee out for women's pleasure,",52,9,XX,20,13
Mine be thy love and thy love's use their treasure.,51,10,XX,20,14
XXI,3,1,XXI,21,0
"So is it not with me as with that Muse,",39,10,XXI,21,1
"Stirr'd by a painted beauty to his verse,",41,8,XXI,21,2
Who heaven itself for ornament doth use,39,7,XXI,21,3
"And every fair with his fair doth rehearse,",43,8,XXI,21,4
Making a couplement of proud compare.,37,6,XXI,21,5
"With sun and moon, with earth and sea's rich gems,",50,10,XXI,21,6
"With April's first-born flowers, and all things rare,",53,8,XXI,21,7
That heaven's air in this huge rondure hems.,44,8,XXI,21,8
"O! let me, true in love, but truly write,",41,9,XXI,21,9
"And then believe me, my love is as fair",39,9,XXI,21,10
"As any mother's child, though not so bright",43,8,XXI,21,11
As those gold candles fix'd in heaven's air:,44,8,XXI,21,12
Let them say more that like of hearsay well;,44,9,XXI,21,13
I will not praise that purpose not to sell.,43,9,XXI,21,14
XXII,4,1,XXII,22,0
"My glass shall not persuade me I am old,",40,9,XXII,22,1
So long as youth and thou are of one date;,42,10,XXII,22,2
"But when in thee time's furrows I behold,",41,8,XXII,22,3
Then look I death my days should expiate.,41,8,XXII,22,4
"For all that beauty that doth cover thee,",41,8,XXII,22,5
"Is but the seemly raiment of my heart,",38,8,XXII,22,6
"Which in thy breast doth live, as thine in me:",46,10,XXII,22,7
How can I then be elder than thou art?,38,9,XXII,22,8
"O! therefore love, be of thyself so wary",40,8,XXII,22,9
"As I, not for myself, but for thee will;",40,9,XXII,22,10
"Bearing thy heart, which I will keep so chary",45,9,XXII,22,11
As tender nurse her babe from faring ill.,41,8,XXII,22,12
"Presume not on thy heart when mine is slain,",44,9,XXII,22,13
Thou gav'st me thine not to give back again.,44,9,XXII,22,14
XXIII,5,1,XXIII,23,0
"As an unperfect actor on the stage,",35,7,XXIII,23,1
"Who with his fear is put beside his part,",41,9,XXIII,23,2
"Or some fierce thing replete with too much rage,",48,9,XXIII,23,3
Whose strength's abundance weakens his own heart;,49,7,XXIII,23,4
"So I, for fear of trust, forget to say",38,9,XXIII,23,5
"The perfect ceremony of love's rite,",36,6,XXIII,23,6
"And in mine own love's strength seem to decay,",46,9,XXIII,23,7
O'ercharg'd with burthen of mine own love's might.,50,8,XXIII,23,8
O! let my looks be then the eloquence,37,8,XXIII,23,9
"And dumb presagers of my speaking breast,",41,7,XXIII,23,10
"Who plead for love, and look for recompense,",44,8,XXIII,23,11
More than that tongue that more hath more express'd.,52,9,XXIII,23,12
O! learn to read what silent love hath writ:,44,9,XXIII,23,13
To hear with eyes belongs to love's fine wit.,45,9,XXIII,23,14
XXIV,4,1,XXIV,24,0
"Mine eye hath play'd the painter and hath stell'd,",50,9,XXIV,24,1
Thy beauty's form in table of my heart;,39,8,XXIV,24,2
"My body is the frame wherein 'tis held,",39,8,XXIV,24,3
And perspective it is best painter's art.,41,7,XXIV,24,4
"For through the painter must you see his skill,",47,9,XXIV,24,5
"To find where your true image pictur'd lies,",44,8,XXIV,24,6
"Which in my bosom's shop is hanging still,",42,8,XXIV,24,7
