text,char,word,index,index_num,line,id
I,1,1,I,1,0,1
"From fairest creatures we desire increase,",42,6,I,1,1,2
"That thereby beauty's rose might never die,",43,7,I,1,2,3
"But as the riper should by time decease,",40,8,I,1,3,4
His tender heir might bear his memory:,38,7,I,1,4,5
"But thou, contracted to thine own bright eyes,",46,8,I,1,5,6
"Feed'st thy light's flame with self-substantial fuel,",53,7,I,1,6,7
"Making a famine where abundance lies,",37,6,I,1,7,8
"Thy self thy foe, to thy sweet self too cruel:",46,10,I,1,8,9
"Thou that art now the world's fresh ornament,",45,8,I,1,9,10
"And only herald to the gaudy spring,",36,7,I,1,10,11
"Within thine own bud buriest thy content,",41,7,I,1,11,12
And tender churl mak'st waste in niggarding:,44,7,I,1,12,13
"Pity the world, or else this glutton be,",40,8,I,1,13,14
"To eat the world's due, by the grave and thee.",46,10,I,1,14,15
II,2,1,II,2,0,16
"When forty winters shall besiege thy brow,",42,7,II,2,1,17
"And dig deep trenches in thy beauty's field,",44,8,II,2,2,18
"Thy youth's proud livery so gazed on now,",41,8,II,2,3,19
Will be a tatter'd weed of small worth held:,44,9,II,2,4,20
"Then being asked, where all thy beauty lies,",44,8,II,2,5,21
Where all the treasure of thy lusty days;,41,8,II,2,6,22
"To say, within thine own deep sunken eyes,",42,8,II,2,7,23
"Were an all-eating shame, and thriftless praise.",48,7,II,2,8,24
"How much more praise deserv'd thy beauty's use,",47,8,II,2,9,25
If thou couldst answer 'This fair child of mine,47,9,II,2,10,26
"Shall sum my count, and make my old excuse,'",44,9,II,2,11,27
Proving his beauty by succession thine!,39,6,II,2,12,28
"This were to be new made when thou art old,",43,10,II,2,13,29
And see thy blood warm when thou feel'st it cold.,49,10,II,2,14,30
III,3,1,III,3,0,31
Look in thy glass and tell the face thou viewest,48,10,III,3,1,32
Now is the time that face should form another;,46,9,III,3,2,33
"Whose fresh repair if now thou not renewest,",44,8,III,3,3,34
"Thou dost beguile the world, unbless some mother.",49,8,III,3,4,35
For where is she so fair whose unear'd womb,43,9,III,3,5,36
Disdains the tillage of thy husbandry?,38,6,III,3,6,37
"Or who is he so fond will be the tomb,",38,10,III,3,7,38
Of his self-love to stop posterity?,35,6,III,3,8,39
Thou art thy mother's glass and she in thee,43,9,III,3,9,40
Calls back the lovely April of her prime;,41,8,III,3,10,41
"So thou through windows of thine age shalt see,",47,9,III,3,11,42
Despite of wrinkles this thy golden time.,41,7,III,3,12,43
"But if thou live, remember'd not to be,",39,8,III,3,13,44
Die single and thine image dies with thee.,42,8,III,3,14,45
IV,2,1,IV,4,0,46
"Unthrifty loveliness, why dost thou spend",41,6,IV,4,1,47
Upon thy self thy beauty's legacy?,34,6,IV,4,2,48
"Nature's bequest gives nothing, but doth lend,",46,7,IV,4,3,49
And being frank she lends to those are free:,44,9,IV,4,4,50
"Then, beauteous niggard, why dost thou abuse",44,7,IV,4,5,51
The bounteous largess given thee to give?,41,7,IV,4,6,52
"Profitless usurer, why dost thou use",36,6,IV,4,7,53
"So great a sum of sums, yet canst not live?",43,10,IV,4,8,54
"For having traffic with thy self alone,",39,7,IV,4,9,55
Thou of thy self thy sweet self dost deceive:,45,9,IV,4,10,56
"Then how when nature calls thee to be gone,",43,9,IV,4,11,57
What acceptable audit canst thou leave?,39,6,IV,4,12,58
"Thy unused beauty must be tombed with thee,",43,8,IV,4,13,59
"Which, used, lives th' executor to be.",38,7,IV,4,14,60
V,1,1,V,5,0,61
"Those hours, that with gentle work did frame",44,8,V,5,1,62
"The lovely gaze where every eye doth dwell,",43,8,V,5,2,63
Will play the tyrants to the very same,38,8,V,5,3,64
And that unfair which fairly doth excel;,40,7,V,5,4,65
For never-resting time leads summer on,38,6,V,5,5,66
"To hideous winter, and confounds him there;",43,7,V,5,6,67
"Sap checked with frost, and lusty leaves quite gone,",52,9,V,5,7,68
Beauty o'er-snowed and bareness every where:,44,6,V,5,8,69
"Then were not summer's distillation left,",41,6,V,5,9,70
"A liquid prisoner pent in walls of glass,",41,8,V,5,10,71
"Beauty's effect with beauty were bereft,",40,6,V,5,11,72
"Nor it, nor no remembrance what it was:",39,8,V,5,12,73
"But flowers distill'd, though they with winter meet,",52,8,V,5,13,74
Leese but their show; their substance still lives sweet.,56,9,V,5,14,75
VI,2,1,VI,6,0,76
"Then let not winter's ragged hand deface,",41,7,VI,6,1,77
"In thee thy summer, ere thou be distill'd:",42,8,VI,6,2,78
Make sweet some vial; treasure thou some place,46,8,VI,6,3,79
With beauty's treasure ere it be self-kill'd.,45,7,VI,6,4,80
"That use is not forbidden usury,",32,6,VI,6,5,81
Which happies those that pay the willing loan;,46,8,VI,6,6,82
"That's for thy self to breed another thee,",42,8,VI,6,7,83
"Or ten times happier, be it ten for one;",40,9,VI,6,8,84
"Ten times thy self were happier than thou art,",46,9,VI,6,9,85
If ten of thine ten times refigur'd thee:,41,8,VI,6,10,86
"Then what could death do if thou shouldst depart,",49,9,VI,6,11,87
Leaving thee living in posterity?,33,5,VI,6,12,88
"Be not self-will'd, for thou art much too fair",46,9,VI,6,13,89
To be death's conquest and make worms thine heir.,49,9,VI,6,14,90
VII,3,1,VII,7,0,91
Lo! in the orient when the gracious light,41,8,VII,7,1,92
"Lifts up his burning head, each under eye",41,8,VII,7,2,93
"Doth homage to his new-appearing sight,",39,6,VII,7,3,94
Serving with looks his sacred majesty;,38,6,VII,7,4,95
"And having climb'd the steep-up heavenly hill,",46,7,VII,7,5,96
"Resembling strong youth in his middle age,",42,7,VII,7,6,97
"Yet mortal looks adore his beauty still,",40,7,VII,7,7,98
Attending on his golden pilgrimage:,35,5,VII,7,8,99
"But when from highmost pitch, with weary car,",45,8,VII,7,9,100
"Like feeble age, he reeleth from the day,",41,8,VII,7,10,101
"The eyes, 'fore duteous, now converted are",42,7,VII,7,11,102
"From his low tract, and look another way:",41,8,VII,7,12,103
"So thou, thyself outgoing in thy noon:",38,7,VII,7,13,104
"Unlook'd, on diest unless thou get a son.",41,8,VII,7,14,105
VIII,4,1,VIII,8,0,106
"Music to hear, why hear'st thou music sadly?",44,8,VIII,8,1,107
"Sweets with sweets war not, joy delights in joy:",48,9,VIII,8,2,108
"Why lov'st thou that which thou receiv'st not gladly,",53,9,VIII,8,3,109
Or else receiv'st with pleasure thine annoy?,44,7,VIII,8,4,110
"If the true concord of well-tuned sounds,",41,7,VIII,8,5,111
"By unions married, do offend thine ear,",39,7,VIII,8,6,112
"They do but sweetly chide thee, who confounds",45,8,VIII,8,7,113
In singleness the parts that thou shouldst bear.,48,8,VIII,8,8,114
"Mark how one string, sweet husband to another,",46,8,VIII,8,9,115
Strikes each in each by mutual ordering;,40,7,VIII,8,10,116
"Resembling sire and child and happy mother,",43,7,VIII,8,11,117
"Who, all in one, one pleasing note do sing:",43,9,VIII,8,12,118
"Whose speechless song being many, seeming one,",46,7,VIII,8,13,119
Sings this to thee: 'Thou single wilt prove none.',50,9,VIII,8,14,120
IX,2,1,IX,9,0,121
"Is it for fear to wet a widow's eye,",36,9,IX,9,1,122
That thou consum'st thy self in single life?,44,8,IX,9,2,123
"Ah! if thou issueless shalt hap to die,",39,8,IX,9,3,124
The world will wail thee like a makeless wife;,46,9,IX,9,4,125
The world will be thy widow and still weep,42,9,IX,9,5,126
"That thou no form of thee hast left behind,",43,9,IX,9,6,127
When every private widow well may keep,38,7,IX,9,7,128
"By children's eyes, her husband's shape in mind:",48,8,IX,9,8,129
Look! what an unthrift in the world doth spend,46,9,IX,9,9,130
"Shifts but his place, for still the world enjoys it;",52,10,IX,9,10,131
"But beauty's waste hath in the world an end,",44,9,IX,9,11,132
And kept unused the user so destroys it.,40,8,IX,9,12,133
No love toward others in that bosom sits,40,8,IX,9,13,134
That on himself such murd'rous shame commits.,45,7,IX,9,14,135
X,1,1,X,10,0,136
"For shame! deny that thou bear'st love to any,",46,9,X,10,1,137
Who for thy self art so unprovident.,36,7,X,10,2,138
"Grant, if thou wilt, thou art belov'd of many,",46,9,X,10,3,139
But that thou none lov'st is most evident:,42,8,X,10,4,140
"For thou art so possess'd with murderous hate,",46,8,X,10,5,141
"That 'gainst thy self thou stick'st not to conspire,",52,9,X,10,6,142
Seeking that beauteous roof to ruinate,38,6,X,10,7,143
Which to repair should be thy chief desire.,43,8,X,10,8,144
"O! change thy thought, that I may change my mind:",49,10,X,10,9,145
Shall hate be fairer lodg'd than gentle love?,45,8,X,10,10,146
